rank,fold,n_train,n_val,val_mse,val_r2,fit_iterations,train_objective,effective_rank,step_size,lipschitz
1,1,316,81,6.703889023209685,0.33048613950468664,1826,3.556706133162857,1,0.7398317555722062,1.3516586608621208
1,2,317,80,6.65062071313838,0.31893983573542595,1842,3.548191124350217,1,0.7379895672198897,1.3550327056344988
1,3,317,80,8.094055228591476,0.18299294501939145,1261,3.3875388035809006,1,0.7493233366209753,1.3345373767610587
1,4,319,78,8.629772881826101,0.18268209402627378,1636,3.318305375657211,1,0.8217050691803508,1.2169816610690962
1,5,319,78,7.871964986753331,0.32325913589714295,1614,3.447914875030702,1,0.7361349509649363,1.3584465710929574
2,1,316,81,8.719117673989974,0.12922631716969646,4000,3.1939950038991802,2,0.7398317555722062,1.3516586608621208
2,2,317,80,7.221667639582068,0.2604614875779062,4000,3.2496118728899313,2,0.7379895672198897,1.3550327056344988
2,3,317,80,8.26697580327591,0.16553848918995295,4000,3.1388371577295975,2,0.7493233366209753,1.3345373767610587
2,4,319,78,9.349785617562656,0.11449034558687687,4000,2.957838835121934,2,0.8217050691803508,1.2169816610690962
2,5,319,78,9.208071477282106,0.2083960918597989,3894,3.1151436862964137,2,0.7361349509649363,1.3584465710929574
3,1,316,81,8.691134666956646,0.13202096532128238,4000,2.9765087322884964,3,0.7398317555722062,1.3516586608621208
3,2,317,80,8.120304349756175,0.1684361425997617,4000,2.940757133311588,3,0.7379895672198897,1.3550327056344988
3,3,317,80,8.761857880268797,0.11558551297866937,4000,2.961994538571268,3,0.7493233366209753,1.3345373767610587
3,4,319,78,9.939185512251466,0.058668820002734434,4000,2.735516462721173,3,0.8217050691803508,1.2169816610690962
3,5,319,78,10.60974387134916,0.08789644675895336,4000,2.9953097039964502,3,0.7361349509649363,1.3584465710929574
4,1,316,81,8.77930992585377,0.12321494872703365,4000,2.8310668660609024,4,0.7398317555722062,1.3516586608621208
4,2,317,80,8.009864045293893,0.1797458376106228,4000,2.8112961147347235,4,0.7379895672198897,1.3550327056344988
4,3,317,80,8.662733530496869,0.12559104059083082,4000,2.7761187669756486,4,0.7493233366209753,1.3345373767610587
4,4,319,78,10.003340780714744,0.05259273313513968,4000,2.666178215685772,4,0.8217050691803508,1.2169816610690962
4,5,319,78,10.210572389099521,0.12221261232592595,4000,2.816624123863441,4,0.7361349509649363,1.3584465710929574
5,1,316,81,8.680615306094225,0.1330715283417261,4000,2.6979565491822872,5,0.7398317555722062,1.3516586608621208
5,2,317,80,8.025007999957165,0.17819501330482412,4000,2.756874930963401,5,0.7379895672198897,1.3550327056344988
5,3,317,80,9.491615537765863,0.04192439531108216,4000,2.644996496290883,5,0.7493233366209753,1.3345373767610587
5,4,319,78,10.436706566799447,0.01154905543310758,4000,2.566955152178683,5,0.8217050691803508,1.2169816610690962
5,5,319,78,10.312595992300064,0.11344179824011558,4000,2.7510885985301625,5,0.7361349509649363,1.3584465710929574
6,1,316,81,9.466297182286949,0.054605893807826766,4000,2.6474299373263523,6,0.7398317555722062,1.3516586608621208
6,2,317,80,7.792834145359732,0.20197089383845468,4000,2.716385268974235,6,0.7379895672198897,1.3550327056344988
6,3,317,80,9.480053226037256,0.04309148522922224,4000,2.5852094648286874,6,0.7493233366209753,1.3345373767610587
6,4,319,78,10.414948095574115,0.013609780365571367,4000,2.514342255343809,6,0.8217050691803508,1.2169816610690962
6,5,319,78,10.237697374877866,0.1198807185299926,4000,2.709516609384579,6,0.7361349509649363,1.3584465710929574
7,1,316,81,9.203090538948185,0.08089220243848161,4000,2.6273007440058818,7,0.7398317555722062,1.3516586608621208
7,2,317,80,7.632248985000336,0.2184156980770674,4000,2.6950025901312737,7,0.7379895672198897,1.3550327056344988
7,3,317,80,9.572210786446929,0.03378917941364812,4000,2.574027658420754,7,0.7493233366209753,1.3345373767610587
7,4,319,78,10.325181586477106,0.0221114844366308,4000,2.503029130928843,7,0.8217050691803508,1.2169816610690962
7,5,319,78,9.573238775470426,0.17700321430839716,4000,2.6716312755867655,7,0.7361349509649363,1.3584465710929574
8,1,316,81,9.31654268428005,0.06956179652936878,4000,2.6202978210176417,8,0.7398317555722062,1.3516586608621208
8,2,317,80,7.649506237590254,0.21664846043255315,4000,2.6937283819299838,8,0.7379895672198897,1.3550327056344988
8,3,317,80,9.622932492886472,0.028669373478129145,4000,2.570647349126963,8,0.7493233366209753,1.3345373767610587
8,4,319,78,10.348867942451378,0.019868171300799542,4000,2.5016226406959916,8,0.8217050691803508,1.2169816610690962
8,5,319,78,9.828411561983188,0.15506639772819497,4000,2.660340929251381,8,0.7361349509649363,1.3584465710929574
